0 0,7464628 0 0 0 0 360 360 360 360 0 0
2 0,7374502 0 0 0 0 360 360 360 360 0 0
2 0,7534809 0 0 0 0 360 360 360 360 0 0
2 0,7608583 0 0 0 0 360 360 360 360 255 0
2 0,7460767 0 0 0 0 360 360 360 360 255 0
2 0,7344057 0 0 0 0 360 360 360 360 255 0
2 0,7451853 0 0 0 0 360 360 360 360 255 0
2 0,7518931 0 0 0 0 360 360 360 360 255 0
2 0,7401238 0 0 0 0 360 360 360 360 255 0
2 0,7364624 0 0 0 0 360 360 360 360 255 0
2 0,7676865 0 0 0 0 360 360 360 360 255 0
2 0,8170913 0 0 0 0 360 360 360 360 255 0
2 0,8553916 0 0 0 0 360 360 360 360 255 0
2 0,8877103 0 0 0 0 360 360 360 360 255 0
2 0,9499543 0 0 0 0 360 360 360 360 255 0
2 1,037273 0 0 0 0 360 360 360 360 255 0
2 1,099487 0 0 0 0 360 360 360 360 255 0
2 1,166827 0 0 0 0 360 360 360 360 255 0
2 1,261784 0 0 0 0 360 360 360 360 255 0
2 1,354844 0 0 0 0 360 360 360 360 255 0
2 1,453558 0 0 0 0 360 360 360 360 255 0
2 1,557209 0 0 0 0 360 360 360 360 255 0
2 1,652417 0 0 0 0 360 360 360 360 255 0
2 1,769662 0 0 0 0 360 360 360 360 255 0
2 1,921153 0 0 0 0 360 360 360 360 255 0
2 2,063632 0 0 0 0 360 360 360 360 255 0
2 2,224486 0 0 0 0 360 360 360 360 255 0
2 2,398445 0 0 0 0 360 360 360 360 255 0
2 2,544576 0 0 0 0 360 360 360 360 255 0
2 2,710427 0 0 0 0 360 360 360 360 255 0
2 2,894625 0 0 0 0 360 360 360 360 255 0
2 3,046002 0 0 0 0 360 360 360 360 255 0
2 3,217526 0 0 0 0 360 360 360 360 255 0
2 3,405497 0 0 0 0 360 360 360 360 255 0
2 3,577486 0 0 0 0 360 360 360 360 255 0
2 3,733912 0 0 0 0 360 360 360 360 255 0
2 3,926919 0 0 0 0 360 360 360 361 255 0
2 4,086364 0 0 0 0 360 360 360 361 255 0
2 4,265229 0 0 0 0 360 360 361 361 255 0
2 4,466268 0 0 0 0 360 360 361 361 255 0
2 4,633249 0 0 0 0 360 360 361 361 255 0
2 4,821354 0 0 0 0 360 360 361 361 255 0
2 5,032208 0 0 0 0 360 360 360 361 255 0
2 5,205585 0 0 0 0 360 360 360 361 255 0
2 5,400636 0 0 0 0 360 360 360 361 255 0
2 5,616999 0 0 0 0 360 360 360 361 255 0
2 5,815282 0 0 0 0 360 360 360 361 255 0
2 6,014482 0 0 0 0 360 360 360 361 255 0
2 6,214454 0 0 0 0 360 360 361 361 255 0
2 6,394398 0 0 0 0 360 360 361 361 255 0
2 6,594532 0 0 0 0 360 360 361 361 255 0
2 6,814571 0 0 0 0 360 360 361 361 255 0
2 6,993913 0 0 0 0 360 360 361 361 255 0
2 7,192666 0 0 0 0 360 360 361 361 255 0
2 7,411196 0 0 0 0 360 360 361 361 255 0
2 7,590748 0 0 0 0 360 360 361 361 255 0
2 7,790761 0 0 0 0 360 360 361 361 255 0
2 8,012462 0 0 0 0 360 360 361 361 255 0
2 8,194267 0 0 0 0 360 360 361 361 255 0
2 8,396584 0 0 0 0 360 360 361 361 255 0
2 8,619284 0 0 0 0 360 360 361 361 255 0
2 8,801827 0 0 0 0 360 360 361 361 255 0
2 9,004936 0 0 0 0 360 360 361 361 255 0
2 9,228461 0 0 0 0 360 360 361 361 255 0
2 9,410612 0 0 0 0 360 360 361 361 255 0
2 9,613194 0 0 0 0 360 360 361 361 255 0
2 9,835975 0 0 0 0 360 360 361 361 255 0
2 10,01819 0 0 0 0 360 360 361 361 255 0
2 10,22015 0 0 0 0 360 360 361 361 255 0
2 10,44243 0 0 0 0 360 360 361 361 255 0
2 10,62557 0 0 0 0 360 360 361 361 255 0
2 10,82893 0 0 0 0 360 360 361 361 255 0
2 11,05343 0 0 0 0 360 360 361 361 255 0
2 11,23768 0 0 0 0 360 360 361 361 255 0
2 11,44264 0 0 0 0 360 360 361 361 255 0
2 11,66824 0 0 0 0 360 360 361 361 255 0
2 11,85278 0 0 0 0 360 360 361 361 255 0
2 12,05801 0 0 0 0 360 360 361 361 255 0
2 12,28409 0 0 0 0 360 360 361 361 255 0
2 12,46941 0 0 0 0 360 360 361 361 255 0
2 12,67502 0 0 0 0 360 360 361 361 255 0
2 12,90079 0 0 0 0 360 360 361 361 255 0
2 13,10533 0 0 0 0 360 360 361 361 255 0
2 13,28874 0 0 0 0 360 360 361 361 255 0
2 13,51175 0 0 0 0 360 360 361 361 255 0
2 13,68623 0 0 0 0 360 360 361 361 255 0
2 13,86116 0 0 0 0 360 360 361 361 255 0
2 14,04871 0 0 0 0 360 360 361 361 255 0
2 14,21579 0 0 0 0 360 360 361 361 255 0
2 14,40873 0 0 0 0 360 360 361 361 255 0
2 14,61654 0 0 0 0 360 360 361 361 255 0
2 14,77853 0 0 0 0 360 360 361 361 255 0
2 14,95256 0 0 0 0 360 360 361 361 255 0
2 15,14145 0 0 0 0 360 360 361 361 255 0
2 15,29467 0 0 0 0 360 360 361 361 255 0
2 15,46361 0 0 0 0 360 360 361 361 255 0
2 15,64787 0 0 0 0 360 360 361 361 255 0
2 15,79947 0 0 0 0 360 360 361 361 255 0
2 15,96754 0 0 0 0 360 360 361 361 255 0
2 16,15304 0 0 0 0 360 360 361 361 255 0
2 16,305 0 0 0 0 360 360 361 361 255 0
2 16,47434 0 0 0 0 360 360 361 361 255 0
2 16,66191 0 0 0 0 360 360 361 361 255 0
2 16,81519 0 0 0 0 360 360 361 361 255 0
2 16,98568 0 0 0 0 360 360 361 361 255 0
2 17,17201 0 0 0 0 360 360 361 361 255 0
2 17,32335 0 0 0 0 360 360 361 361 255 0
2 17,48953 0 0 0 0 360 360 361 361 255 0
2 17,67017 0 0 0 0 360 360 361 361 255 0
2 17,81631 0 0 0 0 360 360 361 361 255 0
2 17,97744 0 0 0 0 360 360 361 361 255 0
2 18,15331 0 0 0 0 360 360 361 361 255 0
2 18,2966 0 0 0 0 360 360 361 361 255 0
2 18,45542 0 0 0 0 360 360 361 361 255 0
2 18,62991 0 0 0 0 360 360 361 361 255 0
2 18,7723 0 0 0 0 360 360 361 361 255 0
2 18,93015 0 0 0 0 360 360 361 361 255 0
2 19,10295 0 0 0 0 360 360 361 361 255 0
2 19,24315 0 0 0 0 360 360 361 361 255 0
2 19,39749 0 0 0 0 360 360 361 361 255 0
2 19,56491 0 0 0 0 360 360 361 361 255 0
2 19,70001 0 0 0 0 360 360 361 361 255 0
2 19,84855 0 0 0 0 360 360 361 361 255 0
2 20,00973 0 0 0 0 360 360 361 361 255 0
2 20,14014 0 0 0 0 360 360 361 361 255 0
2 20,28354 0 0 0 0 360 360 361 361 255 0
2 20,43916 0 0 0 0 360 360 361 361 255 0
2 20,56472 0 0 0 0 360 360 361 361 255 0
2 20,70249 0 0 0 0 360 360 361 361 255 0
2 20,85194 0 0 0 0 360 360 361 361 255 0
2 20,97266 0 0 0 0 360 360 361 361 255 0
2 21,1053 0 0 0 0 360 360 361 361 255 0
2 21,24926 0 0 0 0 360 360 361 361 255 0
2 21,36565 0 0 0 0 360 360 361 361 255 0
2 21,49339 0 0 0 0 360 360 361 361 255 0
2 21,63194 0 0 0 0 360 360 361 361 255 0
2 21,7381 0 0 0 0 360 360 361 361 76 0
2 21,67624 0 0 0 0 360 360 361 361 76 0
2 21,70924 0 0 0 0 360 360 361 361 76 0
2 21,67346 0 0 0 0 360 360 361 361 76 0
2 21,68202 0 0 0 0 360 360 361 361 255 0
2 21,75978 0 0 0 0 360 360 361 361 255 0
2 21,75754 0 0 0 0 360 360 361 361 255 0
2 21,86165 0 0 0 0 360 360 361 361 255 0
2 22,03921 0 0 0 0 360 360 361 361 255 0
2 22,21665 0 0 0 0 360 360 361 361 255 0
2 22,42708 0 0 0 0 360 360 361 361 255 0
2 22,66328 0 0 0 0 360 360 361 361 255 0
2 22,84254 0 0 0 0 360 360 361 361 255 0
2 23,00764 0 0 0 0 360 360 361 361 255 0
2 23,15927 0 0 0 0 360 360 361 361 255 0
2 23,28953 0 0 0 0 360 360 361 361 255 0
2 23,4345 0 0 0 0 360 360 361 361 255 0
2 23,58116 0 0 0 0 360 360 361 361 255 0
2 23,68878 0 0 0 0 360 360 361 361 255 0
2 23,80992 0 0 0 0 360 360 361 361 255 0
2 23,91637 0 0 0 0 360 360 361 361 255 0
2 24,01323 0 0 0 0 360 360 361 361 255 0
2 24,12435 0 0 0 0 360 360 361 361 255 0
2 24,25047 0 0 0 0 360 360 361 361 255 0
2 24,35595 0 0 0 0 360 360 361 361 255 0
2 24,47456 0 0 0 0 360 360 361 361 255 0
2 24,60529 0 0 0 0 360 360 361 361 255 0
2 24,71344 0 0 0 0 360 360 361 361 255 0
2 24,8334 0 0 0 0 360 360 361 361 255 0
2 24,96435 0 0 0 0 360 360 361 361 255 0
2 25,07062 0 0 0 0 360 360 361 361 255 0
2 25,18824 0 0 0 0 360 360 361 361 255 0
2 25,31723 0 0 0 0 360 360 361 361 255 0
2 25,4228 0 0 0 0 360 360 361 361 255 0
2 25,54027 0 0 0 0 360 360 361 361 255 0
2 25,66949 0 0 0 0 360 360 361 361 255 0
2 25,77541 0 0 0 0 360 360 361 361 255 0
2 25,89312 0 0 0 0 360 360 361 361 255 0
2 26,02282 0 0 0 0 360 360 361 361 255 0
2 26,12876 0 0 0 0 360 360 361 361 255 0
2 26,24623 0 0 0 0 360 360 361 361 255 0
2 26,3752 0 0 0 0 360 360 361 361 255 0
2 26,48059 0 0 0 0 360 360 361 361 255 0
2 26,59722 0 0 0 0 360 360 361 361 255 0
2 26,72487 0 0 0 0 360 360 361 361 255 0
2 26,82835 0 0 0 0 360 360 361 361 255 0
2 26,94302 0 0 0 0 360 360 361 361 255 0
2 27,06861 0 0 0 0 360 360 361 361 255 0
2 27,17047 0 0 0 0 360 360 361 361 255 0
2 27,28331 0 0 0 0 360 360 361 361 255 0
2 27,40632 0 0 0 0 360 360 361 361 255 0
2 27,50531 0 0 0 0 360 360 361 361 255 0
2 27,61524 0 0 0 0 360 360 361 361 255 0
2 27,73567 0 0 0 0 360 360 361 361 255 0
2 27,83439 0 0 0 0 360 360 361 361 255 0
2 27,94475 0 0 0 0 360 360 361 361 255 0
2 28,06653 0 0 0 0 360 360 361 361 255 0
2 28,16564 0 0 0 0 360 360 361 361 255 0
2 28,27492 0 0 0 0 360 360 361 361 255 0
2 28,39363 0 0 0 0 360 360 361 361 255 0
2 28,4895 0 0 0 0 360 360 361 361 255 0
2 28,59439 0 0 0 0 360 360 361 361 255 0
2 28,70867 0 0 0 0 360 360 361 361 255 0
2 28,80171 0 0 0 0 360 360 361 361 255 0
2 28,9046 0 0 0 0 360 360 361 361 255 0
2 29,01801 0 0 0 0 360 360 361 361 255 0
2 29,11116 0 0 0 0 360 360 361 361 255 0
2 29,21474 0 0 0 0 360 360 361 361 255 0
2 29,32762 0 0 0 0 360 360 361 361 255 0
2 29,41816 0 0 0 0 360 360 361 361 255 0
2 29,51673 0 0 0 0 360 360 361 361 255 0
2 29,62278 0 0 0 0 360 360 361 361 255 0
2 29,70787 0 0 0 0 360 360 361 361 255 0
2 29,80128 0 0 0 0 360 360 361 360 255 0
2 29,90351 0 0 0 0 360 360 361 360 255 0
2 29,98686 0 0 0 0 360 360 361 360 255 0
2 30,07883 0 0 0 0 360 360 361 360 255 0
2 30,17866 0 0 0 0 360 360 361 360 255 0
2 30,25869 0 0 0 0 360 360 361 360 255 0
2 30,34624 0 0 0 0 360 360 361 360 255 0
2 30,44052 0 0 0 0 360 360 361 360 255 0
2 30,51825 0 0 0 0 360 360 361 360 255 0
2 30,60525 0 0 0 0 360 360 361 360 255 0
2 30,70207 0 0 0 0 360 360 361 360 255 0
2 30,78191 0 0 0 0 360 360 361 360 255 0
2 30,87088 0 0 0 0 360 360 361 360 255 0
2 30,96818 0 0 0 0 360 360 361 360 255 0
2 31,04725 0 0 0 0 360 360 361 360 255 0
2 31,1345 0 0 0 0 360 360 361 361 255 0
2 31,22949 0 0 0 0 360 360 361 361 255 0
2 31,30673 0 0 0 0 360 360 361 361 255 0
2 31,39218 0 0 0 0 360 360 361 361 255 0
2 31,48636 0 0 0 0 360 360 361 361 255 0
2 31,53341 0 0 0 0 360 360 361 361 76 0
2 31,49022 0 0 0 0 360 360 361 361 76 0
2 31,49904 0 0 0 0 360 360 361 360 76 0
2 31,46856 0 0 0 0 360 360 361 360 76 0
2 31,49082 0 0 0 0 360 360 361 360 255 0
2 31,50175 0 0 0 0 360 360 361 360 255 0
2 31,52829 0 0 0 0 360 360 361 360 255 0
2 31,64009 0 0 0 0 360 360 361 360 255 0
2 31,78484 0 0 0 0 360 360 361 360 255 0
2 31,93644 0 0 0 0 360 360 361 360 255 0
2 32,11484 0 0 0 0 360 360 361 361 255 0
2 32,27147 0 0 0 0 360 360 361 361 255 0
2 32,36212 0 0 0 0 360 360 361 360 255 0
2 32,46737 0 0 0 0 360 360 361 361 255 0
2 32,58343 0 0 0 0 360 360 361 361 255 0
2 32,67049 0 0 0 0 360 360 361 360 255 0
2 32,75897 0 0 0 0 360 360 361 360 255 0
2 32,85086 0 0 0 0 360 360 361 360 255 0
2 32,9269 0 0 0 0 360 360 361 360 255 0
2 33,01357 0 0 0 0 360 360 361 360 255 0
2 33,11177 0 0 0 0 360 360 361 360 255 0
2 33,19318 0 0 0 0 360 360 361 360 255 0
2 33,28268 0 0 0 0 360 360 361 360 255 0
2 33,38046 0 0 0 0 360 360 361 360 255 0
2 33,46037 0 0 0 0 360 360 361 360 255 0
2 33,5491 0 0 0 0 360 360 361 360 255 0
2 33,64693 0 0 0 0 360 360 361 360 255 0
2 33,72667 0 0 0 0 360 360 361 360 255 0
2 33,81517 0 0 0 0 360 360 361 360 255 0
2 33,91325 0 0 0 0 360 360 361 360 255 0
2 33,99359 0 0 0 0 360 360 360 360 255 0
2 34,08286 0 0 0 0 360 360 360 360 255 0
2 34,18071 0 0 0 0 360 360 360 360 255 0
2 34,26045 0 0 0 0 360 360 360 360 255 0
2 34,34901 0 0 0 0 360 360 360 360 255 0
2 34,44641 0 0 0 0 360 360 360 360 255 0
2 34,52598 0 0 0 0 360 360 360 360 255 0
2 34,61437 0 0 0 0 360 360 360 360 255 0
2 34,71131 0 0 0 0 360 360 360 360 255 0
2 34,7904 0 0 0 0 360 360 360 360 255 0
2 34,87761 0 0 0 0 360 360 360 360 255 0
2 34,97337 0 0 0 0 360 360 360 360 255 0
2 35,05158 0 0 0 0 360 360 360 360 255 0
2 35,13831 0 0 0 0 360 360 360 360 255 0
2 35,2339 0 0 0 0 360 360 360 360 255 0
2 35,3125 0 0 0 0 360 360 360 360 255 0
2 35,39979 0 0 0 0 360 360 360 360 255 0
2 35,49461 0 0 0 0 360 360 360 360 255 0
2 35,57142 0 0 0 0 360 360 360 360 255 0
2 35,65542 0 0 0 0 360 360 360 360 255 0
2 35,7477 0 0 0 0 360 360 360 360 255 0
2 35,82384 0 0 0 0 360 360 360 360 255 0
2 35,90871 0 0 0 0 360 360 360 360 255 0
2 35,99989 0 0 0 0 360 360 360 360 255 0
2 36,07262 0 0 0 0 360 360 360 360 255 0
2 36,15321 0 0 0 0 360 360 360 360 255 0
2 36,24287 0 0 0 0 360 360 360 360 255 0
2 36,3177 0 0 0 0 360 360 360 360 255 0
2 36,40237 0 0 0 0 360 360 360 360 255 0
2 36,49833 0 0 0 0 360 360 360 360 255 0
2 36,57757 0 0 0 0 360 360 360 360 255 0
2 36,67021 0 0 0 0 360 360 360 360 255 0
2 36,74923 0 0 0 0 360 360 360 360 255 0
2 36,82671 0 0 0 0 360 360 360 360 255 0
2 36,89564 0 0 0 0 360 360 360 360 255 0
2 36,98112 0 0 0 0 360 360 360 360 255 0
2 37,0531 0 0 0 0 360 360 360 360 255 0
2 37,13672 0 0 0 0 360 360 360 360 255 0
2 37,2282 0 0 0 0 360 360 360 360 255 0
2 37,29847 0 0 0 0 360 360 360 360 255 0
2 37,37141 0 0 0 0 360 360 360 360 255 0
2 37,4515 0 0 0 0 360 360 360 360 255 0
2 37,52161 0 0 0 0 360 360 360 360 255 0
2 37,60748 0 0 0 0 360 360 360 360 255 0
2 37,7134 0 0 0 0 360 360 360 360 255 0
2 37,80218 0 0 0 0 360 360 360 360 255 0
2 37,89756 0 0 0 0 360 360 360 360 255 0
2 37,99213 0 0 0 0 360 360 360 360 255 0
2 38,06298 0 0 0 0 360 360 360 360 255 0
2 38,13914 0 0 0 0 360 360 360 360 255 0
2 38,22288 0 0 0 0 360 360 360 360 255 0
2 38,28935 0 0 0 0 360 360 360 360 255 0
2 38,36308 0 0 0 0 360 360 360 360 255 0
2 38,44234 0 0 0 0 360 360 360 360 255 0
2 38,50342 0 0 0 0 360 360 360 360 255 0
2 38,57166 0 0 0 0 360 360 360 360 255 0
2 38,64996 0 0 0 0 360 360 360 360 255 0
2 38,71859 0 0 0 0 360 360 360 360 255 0
2 38,7896 0 0 0 0 360 360 360 360 255 0
2 38,86501 0 0 0 0 360 360 360 360 255 0
2 38,92916 0 0 0 0 360 360 360 360 255 0
2 39,00478 0 0 0 0 360 360 360 360 255 0
2 39,08666 0 0 0 0 360 360 360 360 255 0
2 39,15851 0 0 0 0 360 360 360 360 255 0
2 39,24233 0 0 0 0 360 360 360 360 255 0
2 39,34061 0 0 0 0 360 360 360 360 255 0
2 39,42324 0 0 0 0 360 360 360 360 255 0
2 39,51465 0 0 0 0 360 360 360 360 255 0
2 39,61212 0 0 0 0 360 360 360 360 255 0
2 39,68615 0 0 0 0 360 360 360 360 255 0
2 39,76247 0 0 0 0 360 360 360 360 255 0
2 39,84382 0 0 0 0 360 360 360 360 255 0
2 39,91063 0 0 0 0 360 360 360 360 255 0
2 39,98566 0 0 0 0 360 360 360 360 255 0
2 40,0675 0 0 0 0 360 360 360 360 255 0
2 40,13125 0 0 0 0 360 360 360 360 255 0
2 40,19844 0 0 0 0 360 360 360 360 255 0
2 40,27039 0 0 0 0 360 360 360 360 255 0
2 40,31902 0 0 0 0 360 360 360 360 255 0
2 40,36125 0 0 0 0 360 360 360 360 255 0
2 40,41352 0 0 0 0 360 360 360 360 255 0
2 40,45813 0 0 0 0 360 360 360 360 76 0
2 40,47132 0 0 0 0 360 360 360 360 76 0
2 40,48205 0 0 0 0 360 360 360 360 76 0
2 40,47245 0 0 0 0 360 360 360 360 76 0
2 40,49069 0 0 0 0 360 360 360 360 255 0
